Date,Year,Month,Weekday,Merchant,Category,TxnType,Amount,Spend,Income,Description
2025-10-01,2025,2025-10,Wednesday,CorePower Yoga,Fitness,Debit,-24.0,24.0,0.0,COREPOWER YOGA #88
2025-10-01,2025,2025-10,Wednesday,Rent,Housing,Debit,-2150.0,2150.0,0.0,EFT WITHDRAWAL PROPERTY MG
2025-10-01,2025,2025-10,Wednesday,Starbucks,Coffee,Debit,-9.26,9.26,0.0,starbucks coffee
2025-10-01,2025,2025-10,Wednesday,Chevron,Transport,Debit,-37.62,37.62,0.0,CHEVRON #038221
2025-10-03,2025,2025-10,Friday,Target,Shopping,Debit,-94.19,94.19,0.0,TARGET 00018821
2025-10-03,2025,2025-10,Friday,Venmo Cashout,Income,Credit,128.85,0.0,128.85,ACH CREDIT VENMO CASHOUT
2025-10-03,2025,2025-10,Friday,Acme Corp Payroll,Income,Credit,2840.5,0.0,2840.5,PAYROLL DEPOSIT ACME CORP
2025-10-03,2025,2025-10,Friday,Starbucks,Coffee,Debit,-6.66,6.66,0.0,STARBUCKS #04521 SAN DIEGO CA
2025-10-04,2025,2025-10,Saturday,Amazon,Shopping,Debit,-122.42,122.42,0.0,AMZN Mktp US*8821B
2025-10-05,2025,2025-10,Sunday,Amazon,Shopping,Debit,-108.99,108.99,0.0,AMZN MKTPL*A21XK7
2025-10-05,2025,2025-10,Sunday,Spotify,Subscriptions,Debit,-10.99,10.99,0.0,SPOTIFY USA NEW YORK NY
2025-10-05,2025,2025-10,Sunday,Netflix,Subscriptions,Debit,-15.49,15.49,0.0,NETFLIX COM 8662
2025-10-08,2025,2025-10,Wednesday,Trader Joe's,Groceries,Debit,-30.05,30.05,0.0,trader joe's
2025-10-08,2025,2025-10,Wednesday,24 Hour Fitness,Fitness,Debit,-39.99,39.99,0.0,24 HOUR FITNESS 4421
2025-10-08,2025,2025-10,Wednesday,Amazon,Shopping,Debit,-74.98,74.98,0.0,Amazon.com
2025-10-10,2025,2025-10,Friday,Ralphs,Groceries,Debit,-25.48,25.48,0.0,ralphs grocery 0712 sd
